,,lat,lon,collected,total
0,0,45.420855,12.291054,12.0,6453.0
0,1,45.420855,12.295168736842106,3.0,6455.0
0,2,45.420855,12.299283473684211,3.0,6456.0
0,3,45.420855,12.303398210526316,1.0,6456.0
0,4,45.420855,12.307512947368421,2.0,6457.0
0,5,45.420855,12.311627684210528,9.0,6465.0
0,6,45.420855,12.315742421052633,12.0,6468.0
0,7,45.420855,12.319857157894738,66.0,6531.0
0,8,45.420855,12.323971894736843,320.0,6809.0
0,9,45.420855,12.328086631578948,483.0,7049.0
0,10,45.420855,12.332201368421053,456.0,7308.0
0,11,45.420855,12.336316105263158,196.0,7407.0
0,12,45.420855,12.340430842105263,119.0,7433.0
0,13,45.420855,12.344545578947368,47.0,7464.0
0,14,45.420855,12.348660315789473,62.0,7494.0
0,15,45.420855,12.35277505263158,597.0,8049.0
0,16,45.420855,12.356889789473685,700.0,8287.0
0,17,45.420855,12.36100452631579,867.0,8526.0
0,18,45.420855,12.365119263157895,761.0,9035.0
0,19,45.420855,12.369234,963.0,9458.0
1,0,45.42229873684211,12.291054,14.0,9462.0
1,1,45.42229873684211,12.295168736842106,12.0,9463.0
1,2,45.42229873684211,12.299283473684211,5.0,9464.0
1,3,45.42229873684211,12.303398210526316,3.0,9464.0
1,4,45.42229873684211,12.307512947368421,2.0,9464.0
1,5,45.42229873684211,12.311627684210528,15.0,9470.0
1,6,45.42229873684211,12.315742421052633,74.0,9499.0
1,7,45.42229873684211,12.319857157894738,248.0,9617.0
1,8,45.42229873684211,12.323971894736843,340.0,9693.0
1,9,45.42229873684211,12.328086631578948,1471.0,10503.0
1,10,45.42229873684211,12.332201368421053,1422.0,11343.0
1,11,45.42229873684211,12.336316105263158,1186.0,11839.0
1,12,45.42229873684211,12.340430842105263,308.0,11955.0
1,13,45.42229873684211,12.344545578947368,230.0,12062.0
1,14,45.42229873684211,12.348660315789473,82.0,12073.0
1,15,45.42229873684211,12.35277505263158,453.0,12097.0
1,16,45.42229873684211,12.356889789473685,438.0,12178.0
1,17,45.42229873684211,12.36100452631579,1011.0,12488.0
1,18,45.42229873684211,12.365119263157895,661.0,12586.0
1,19,45.42229873684211,12.369234,562.0,12640.0
2,0,45.423742473684214,12.291054,14.0,12640.0
2,1,45.423742473684214,12.295168736842106,14.0,12641.0
2,2,45.423742473684214,12.299283473684211,5.0,12641.0
2,3,45.423742473684214,12.303398210526316,4.0,12641.0
2,4,45.423742473684214,12.307512947368421,5.0,12644.0
2,5,45.423742473684214,12.311627684210528,72.0,12688.0
2,6,45.423742473684214,12.315742421052633,234.0,12772.0
2,7,45.423742473684214,12.319857157894738,712.0,13197.0
2,8,45.423742473684214,12.323971894736843,1641.0,13895.0
2,9,45.423742473684214,12.328086631578948,2435.0,14438.0
2,10,45.423742473684214,12.332201368421053,834.0,14573.0
2,11,45.423742473684214,12.336316105263158,1780.0,15277.0
2,12,45.423742473684214,12.340430842105263,1372.0,15666.0
2,13,45.423742473684214,12.344545578947368,438.0,15757.0
2,14,45.423742473684214,12.348660315789473,195.0,15782.0
2,15,45.423742473684214,12.35277505263158,298.0,15880.0
2,16,45.423742473684214,12.356889789473685,1999.0,16978.0
2,17,45.423742473684214,12.36100452631579,197.0,16999.0
2,18,45.423742473684214,12.365119263157895,1026.0,17191.0
2,19,45.423742473684214,12.369234,511.0,17280.0
3,0,45.42518621052632,12.291054,17.0,17281.0
3,1,45.42518621052632,12.295168736842106,16.0,17281.0
3,2,45.42518621052632,12.299283473684211,11.0,17287.0
3,3,45.42518621052632,12.303398210526316,5.0,17288.0
3,4,45.42518621052632,12.307512947368421,28.0,17305.0
3,5,45.42518621052632,12.311627684210528,137.0,17332.0
3,6,45.42518621052632,12.315742421052633,874.0,17717.0
3,7,45.42518621052632,12.319857157894738,1798.0,18247.0
3,8,45.42518621052632,12.323971894736843,2941.0,18818.0
3,9,45.42518621052632,12.328086631578948,2898.0,19900.0
3,10,45.42518621052632,12.332201368421053,2176.0,20422.0
3,11,45.42518621052632,12.336316105263158,2869.0,21246.0
3,12,45.42518621052632,12.340430842105263,2012.0,21820.0
3,13,45.42518621052632,12.344545578947368,1050.0,22424.0
